TARGETS,TYPE,NOTES:
"[in], [ine], [it], [ite], [ide]",match,
"[ip], [ipe], [ine], [in], [ice]",match,
"([sp])ine, ([wh])ine, ([pr])ide, ([sp])ike, ([sh])ine",matchfirst,
"([wr])ite, ([wh])ine, ([sw])ipe, ([pr])ice, ([ch])ide",matchfirst,
"(r)ide, ([sh])ine, ([sw])ipe, ([wr])ite, ([sh])ine",matchfirst,
"(p)in, ([sp])ine, (p)in, ([wr])ite, ([sp])ine ",matchfirst,
"(s)ip, ([sw])ipe, (f)in, ([sh])ine, ([wh])ine",matchfirst,
"[sp][ine], [wh][ine], [pr][ide], [sp][ike], [sh][ine]",spell,
"[wr][ite], [wh][ine], [sw][ipe], [pr][ice], [ch][ide]",spell,
"[bl], [fl], [cl], [pr], [gl] ",match,
"[cl], [gl], [pr], [bl], [fl]",match,
"[pr], [cl], [gl], [bl], [fl]",match,
"p, [pr], s, [sw], [fl]",match,
"f, [fl], c, [cl], [pr]",match,
"[ue], [ute], [ume], [use], [ule]",match,
"[une], [ue], [use], [ule], [ute]",match,
"[ute], [use], [ume], [ue], [ule]",match,
"[ue], [une], [ule], [use], [ute]",match,
"[ute], [une], [ue], [ume], [use]",match,
"([bl])ue,  ([fl])ute, (c)ute, (f)ume, ([gl])ue",matchfirst,
"(m)use,  (m)ule, ([pr])une, ([cl])ue, ([bl])ue",matchfirst,
"([pr])une, (m)ule, ([fl])ute, (f)ume, ([gl])ue",matchfirst,
"(r)ut, ([fl])ute, (t)ug, ([bl])ue, ([gl])ue",matchfirst,
"(c)ut, (c)ute, (f)une, ([pr])une, (m)ule",matchfirst,
"[bl][ue],  [fl][ute], [c][ute], [f][ume], [gl][ue]",spell,
"[bl][ue],  [fl][ute], [c][ute], [f][ume], [gl][ue]",spell,
"[sp], [str], [gl], h, r",match,
"r, h, [sp], [str], [gl]",match,
"[bl], [fl], [sh], [ch], [pr]",match,
"[sp], [str], [gl], h, r",match,
"f, [fl], s, [sp], [str]",match,
"[oke], [obe], [ode], [ome], [op]",match,
"[op], [oke], [ome], [obe], [ome]",match,
"[og], [obe], [ot], [ome], [ode]",match,
"[oke], [obe], [ode], [ome], [ox]",match,
"[op], [oke], [ome], [obe], [ome]",match,
"([sp])oke, ([str])obe, ([gl])obe, ([str])ode, (h)ome",matchfirst,
"(r)ode, ([sp])oke, ([str])ode, (h)ome, ([gl])obe",matchfirst,
"([gl])obe, (r)ode, ([sp])oke, (h)ome, ([str])ode",matchfirst,
"([sp])oke, ([pl])ane, ([fr])ame, ([str])ode, (h)ome",matchfirst,
"([br])ake, ([bl])ue, (r)ode, ([sw])ipe, ([sp])oke",matchfirst,
"[sp][oke], [str][obe], [gl][obe], [str][ode], [h][ome]",spell,
"[r][ode], [sp][oke], [str][ode], [h][ome], [gl][obe]",spell,
"[shr], [tr], [wh], [bl], [pl]",match,
"[sw], [cl], [squ], [tr], [shr]",match,
"[sh], [shr], [cl], [pl], [tr]",match,
"p, [pl], s, [sh], [shr]",match,
"t, [tr], [wh], b, [bl]",match,
"[ee], [eep], [eel], [eat], [eak]",match,
"[eat], [eet], [ean], [eel], [eep]",match,
"[ee], [eet], [ean], [ee], [eak]",match,
"[eat], [ean], [eet], [ee], [eap]",match,
"[eak], [ee], [eel], [eak], [ean]",match,
"([sh])eep, ([wh])eel, ([tr])ee, ([wh])eat, ([bl])eak",matchfirst,
"([pl])eat, ([sw])eet, ([cl])ean, ([squ])eak, ([sh])eep",matchfirst,
"([cl])ean, ([wh])eel, ([tr])ee, ([wh])eat, ([bl])eak",matchfirst,
"(w)ed, ([wh])eat, (t)ed, ([tr])ee, ([squ])eak",matchfirst,
"(g)et, ([cl])ean, ([sh])eep, ([bl])eak, (d)en",matchfirst,
"[sh][eep], [wh][eel], [tr][ee], [wh][eat], [bl][eak]",spell,
"[pl][eat], [sw][eet], [cl][ean], [squ][eak], [sh][eep]",spell,
